author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306272049/;Зеленоград;sale;flat;5;8;3;130.0;110000000;Замоскворечье; Малая Ордынка;3;Третьяковская;
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/308210204/;Зеленоград;sale;flat;16;22;4;135.0;110000000;Якиманка;Мытная ;40к1;Серпуховская;Sky House
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/298470408/;Зеленоград;sale;flat;5;21;5;230.0;120000000;Пресненский;Большой Тишинский переулок;10С1;Баррикадная;Большой Тишинский переулок, 10с1
REPLACE;real_estate_agent;https://www.cian.ru/sale/flat/248655661/;Зеленоград;sale;flat;21;21;5;370.0;130000000;Раменки;Минская ;1ГК2;Ломоносовский проспект;Золотые Ключи 2
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/304837627/;Зеленоград;sale;flat;5;5;4;229.9;140000000;Пресненский; Спиридоновка;27/24;Баррикадная;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/280116651/;Зеленоград;sale;flat;62;77;2;111.0;149000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/305638927/;Зеленоград;sale;flat;4;8;3;134.0;153250000;Красносельский;Милютинский переулок;3;Лубянка;
VIСTORY GROUP;real_estate_agent;https://www.cian.ru/sale/flat/308550902/;Зеленоград;sale;flat;4;9;2;99.4;154000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304113474/;Зеленоград;sale;flat;34;79;5;181.8;165000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/299068875/;Зеленоград;sale;flat;2;12;5;195.1;175000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/305596218/;Зеленоград;sale;flat;3;9;2;148.5;189000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285074040/;Зеленоград;sale;flat;8;14;3;210.0;200000000;Замоскворечье;Мытная ;7с1;Серпуховская;Английский квартал
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/300891173/;Зеленоград;sale;flat;34;57;4;180.0;201794039;Хорошевский;Чапаевский переулок;3;Аэропорт;Триумф-Палас
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/299601413/;Зеленоград;sale;flat;10;10;4;212.0;250000000;Тверской;Страстной бульвар;10к1;Пушкинская;
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301494930/;Зеленоград;sale;flat;2;6;4;160.0;313204800;Хамовники;переулок Коробейников;1;Парк Культуры;Кристалл Хаус
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/308138114/;Зеленоград;sale;flat;3;4;3;136.6;340000000;Якиманка;Софийская набережная;10;Боровицкая;Золотой, жилой квартал
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307701788/;Зеленоград;sale;flat;6;8;4;233.2;430000000;Хамовники;переулок Хилков;1;Парк Культуры;Парк Палас
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/305590523/;Зеленоград;sale;flat;2;9;4;220.0;850000000;Хамовники; Ефремова;19к1;;Knightsbridge Private Park
Квартирное бюро;real_estate_agent;https://omsk.cian.ru/sale/flat/304461013/;Зеленоград;sale;flat;9;9;2;55.0;5499000;мкр. Солнечный; 2-я Солнечная;28Б;;
